timestamp,distance_cm
25.03.01 08.39.48,10.02
25.03.01 08.39.49,10.96
25.03.01 08.39.50,10.89
25.03.01 08.39.51,11.33
25.03.01 08.39.52,9.80
25.03.01 08.39.53,9.15
25.03.01 08.39.55,6.63
25.03.01 08.39.56,7.11
25.03.01 08.39.57,7.35
25.03.01 08.39.58,8.01
25.03.01 08.39.59,10.80
25.03.01 08.40.00,8.19
25.03.01 08.40.01,9.24
25.03.01 08.40.02,12.60
25.03.01 08.40.03,9.29
25.03.01 08.40.04,11.48
25.03.01 08.40.05,8.13
25.03.01 08.40.06,9.59
25.03.01 08.40.07,8.10
25.03.01 08.40.08,9.32
25.03.01 08.40.09,11.68
25.03.01 08.40.10,6.55
25.03.01 08.40.11,10.87
25.03.01 08.40.12,10.48
25.03.01 08.40.13,8.81
25.03.01 08.40.14,7.11
25.03.01 08.40.15,10.14
25.03.01 08.40.16,8.94
25.03.01 08.40.17,10.47
25.03.01 08.40.18,10.04
25.03.01 08.40.19,13.20
25.03.01 08.40.20,9.52
25.03.01 08.40.21,7.95
25.03.01 08.40.22,10.36
25.03.01 08.40.23,10.44
25.03.01 08.40.24,12.72
25.03.01 08.40.25,11.67
25.03.01 08.40.26,10.71
25.03.01 08.40.27,12.93
25.03.01 08.40.28,7.62
25.03.01 08.40.29,8.72
25.03.01 08.40.30,8.15
25.03.01 08.40.31,9.22
25.03.01 08.40.32,7.25
25.03.01 08.40.33,11.27
25.03.01 08.40.34,9.56
25.03.01 08.40.35,7.06
25.03.01 08.40.36,7.97
25.03.01 08.40.37,10.63
25.03.01 08.40.38,11.68
25.03.01 08.40.39,13.99
25.03.01 08.40.40,15.83
25.03.01 08.40.41,10.83
25.03.01 08.40.42,8.02
25.03.01 08.40.43,5.74
25.03.01 08.40.44,10.54
25.03.01 08.40.45,8.37
25.03.01 08.40.46,9.17
25.03.01 08.40.47,8.78
25.03.01 08.40.48,9.72
25.03.01 08.40.49,12.13
25.03.01 08.40.50,10.31
25.03.01 08.40.51,9.68
25.03.01 08.40.52,7.93
25.03.01 08.40.53,6.65
25.03.01 08.40.54,9.03
25.03.01 08.40.55,9.89
25.03.01 08.40.56,13.54
25.03.01 08.40.57,10.26
25.03.01 08.40.58,11.97
25.03.01 08.40.59,9.00
25.03.01 08.41.00,7.63
25.03.01 08.41.01,8.07
25.03.01 08.41.02,8.55
25.03.01 08.41.03,14.26
25.03.01 08.41.04,8.36
25.03.01 08.41.05,11.68
25.03.01 08.41.06,8.19
25.03.01 08.41.07,11.86
25.03.01 08.41.08,10.77
25.03.01 08.41.09,9.69
25.03.01 08.41.10,9.92
25.03.01 08.41.11,8.69
25.03.01 08.41.12,10.89
25.03.01 08.41.13,9.09
25.03.01 08.41.14,7.55
25.03.01 08.41.15,7.44
25.03.01 08.41.16,10.35
25.03.01 08.41.17,13.16
25.03.01 08.41.18,10.32
25.03.01 08.41.19,9.76
25.03.01 08.41.20,10.57
25.03.01 08.41.21,12.61
25.03.01 08.41.22,10.44
25.03.01 08.41.23,9.18
25.03.01 08.41.24,12.21
25.03.01 08.41.25,10.86
25.03.01 08.41.26,13.07
25.03.01 08.41.27,10.37
25.03.01 08.41.28,7.55
25.03.01 08.41.29,7.26
25.03.01 08.41.30,13.30
25.03.01 08.41.31,13.45
25.03.01 08.41.32,9.64
25.03.01 08.41.33,9.23
25.03.01 08.41.34,12.92
25.03.01 08.41.35,7.79
25.03.01 08.41.36,8.21
25.03.01 08.41.37,11.29
25.03.01 08.41.38,9.21
25.03.01 08.41.39,9.99
25.03.01 08.41.40,9.67
25.03.01 08.41.41,10.68
25.03.01 08.41.42,12.81
25.03.01 08.41.43,10.18
25.03.01 08.41.44,11.29
25.03.01 08.41.45,5.90
25.03.01 08.41.46,9.90
25.03.01 08.41.47,8.31
25.03.01 08.41.48,7.56
25.03.01 08.41.49,8.24
25.03.01 08.41.50,9.33
25.03.01 08.41.51,11.83
25.03.01 08.41.52,7.35
25.03.01 08.41.53,10.06
25.03.01 08.41.54,9.03
25.03.01 08.41.55,9.34
25.03.01 08.41.56,12.01
25.03.01 08.41.57,11.08
25.03.01 08.41.58,12.67
25.03.01 08.41.59,9.69
25.03.01 08.42.00,8.61
25.03.01 08.42.01,9.55
25.03.01 08.42.02,10.48
2025-03-01 08:42:03,10.35
25.03.01 08.42.04,7.83
25.03.01 08.42.05,10.18
25.03.01 08.42.06,10.46
25.03.01 08.42.07,15.03
25.03.01 08.42.08,13.75
25.03.01 08.42.09,8.29
25.03.01 08.42.10,9.43
25.03.01 08.42.11,7.07
25.03.01 08.42.12,8.82
25.03.01 08.42.13,10.63
25.03.01 08.42.14,12.41
25.03.01 08.42.15,8.54
25.03.01 08.42.16,8.69
25.03.01 08.42.17,5.71
25.03.01 08.42.18,9.67
25.03.01 08.42.19,7.88
25.03.01 08.42.20,8.94
25.03.01 08.42.21,8.25
25.03.01 08.42.22,9.81
25.03.01 08.42.23,6.48
25.03.01 08.42.24,7.07
25.03.01 08.42.25,14.26
25.03.01 08.42.26,7.43
25.03.01 08.42.27,7.81
25.03.01 08.42.28,13.67
25.03.01 08.42.29,15.81
25.03.01 08.42.30,7.66
25.03.01 08.42.31,9.26
25.03.01 08.42.32,10.68
25.03.01 08.42.33,13.46
25.03.01 08.42.34,8.03
25.03.01 08.42.35,9.51
25.03.01 08.42.36,11.55
25.03.01 08.42.37,
25.03.01 08.42.38,9.25
25.03.01 08.42.39,9.73
25.03.01 08.42.40,7.25
25.03.01 08.42.41,9.52
25.03.01 08.42.42,9.47
25.03.01 08.42.43,10.46
25.03.01 08.42.44,8.89
25.03.01 08.42.45,10.94
25.03.01 08.42.46,12.03
25.03.01 08.42.47,10.31
25.03.01 08.42.48,10.70
25.03.01 08.42.49,10.11
25.03.01 08.42.50,10.00
25.03.01 08.42.51,8.56
25.03.01 08.42.52,10.63
25.03.01 08.42.53,9.81
25.03.01 08.42.54,14.19
25.03.01 08.42.55,13.15
25.03.01 08.42.56,10.77
25.03.01 08.42.57,"8,47"
25.03.01 08.42.58,7.78
25.03.01 08.42.59,12.38
25.03.01 08.43.00,10.53
25.03.01 08.43.01,10.96
25.03.01 08.43.02,6.51
25.03.01 08.43.03,11.85
25.03.01 08.43.04,10.91
25.03.01 08.43.05,7.78
25.03.01 08.43.06,9.06
25.03.01 08.43.07,10.53
25.03.01 08.43.08,10.10
25.03.01 08.43.09,9.42
25.03.01 08.43.10,9.79
25.03.01 08.43.11,9.50
25.03.01 08.43.12,10.31
25.03.01 08.43.13,12.94
25.03.01 08.43.14,4.87
25.03.01 08.43.15,9.53
25.03.01 08.43.16,10.35
25.03.01 08.43.17,10.59
25.03.01 08.43.18,9.26
25.03.01 08.43.19,6.49
2025-03-01 08:43:21,13.45
25.03.01 08.43.22,6.93
25.03.01 08.43.23,11.73
25.03.01 08.43.24,9.34
25.03.01 08.43.25,9.88
25.03.01 08.43.26,7.89
25.03.01 08.43.27,9.33
25.03.01 08.43.28,12.60
25.03.01 08.43.29,11.17
25.03.01 08.43.30,
25.03.01 08.43.31,12.35
25.03.01 08.43.32,10.88
25.03.01 08.43.33,13.49
25.03.01 08.43.34,10.88
25.03.01 08.43.35,11.66
25.03.01 08.43.36,9.41
25.03.01 08.43.37,10.13
25.03.01 08.43.38,8.61
25.03.01 08.43.39,11.98
25.03.01 08.43.40,7.64
25.03.01 08.43.41,11.56
25.03.01 08.43.42,9.62
25.03.01 08.43.43,12.34
25.03.01 08.43.44,11.50
25.03.01 08.43.46,11.46
25.03.01 08.43.47,6.86
25.03.01 08.43.48,9.87
25.03.01 08.43.49,7.66
25.03.01 08.43.50,8.96
25.03.01 08.43.51,13.02
25.03.01 08.43.52,11.28
25.03.01 08.43.53,8.60
25.03.01 08.43.54,7.97
25.03.01 08.43.55,10.07
25.03.01 08.43.56,7.57
25.03.01 08.43.57,8.66
25.03.01 08.43.58,10.62
25.03.01 08.43.59,12.31
25.03.01 08.44.00,11.22
25.03.01 08.44.01,5.42
25.03.01 08.44.02,10.61
2025-03-01 08:44:03,10.14
25.03.01 08.44.04,10.83
25.03.01 08.44.05,13.23
25.03.01 08.44.06,5.87
25.03.01 08.44.07,8.82
25.03.01 08.44.08,11.18
25.03.01 08.44.09,6.84
25.03.01 08.44.10,12.95
25.03.01 08.44.11,10.74
25.03.01 08.44.12,11.69
25.03.01 08.44.13,8.86
25.03.01 08.44.14,
25.03.01 08.44.15,12.14
25.03.01 08.44.16,10.47
25.03.01 08.44.17,10.47
25.03.01 08.44.18,10.54
25.03.01 08.44.19,8.27
25.03.01 08.44.20,9.70
25.03.01 08.44.21,9.69
25.03.01 08.44.22,10.77
25.03.01 08.44.23,12.00
25.03.01 08.44.24,7.88
25.03.01 08.44.25,9.75
25.03.01 08.44.26,12.96
25.03.01 08.44.27,8.51
25.03.01 08.44.28,8.36
25.03.01 08.44.29,10.40
25.03.01 08.44.30,11.69
25.03.01 08.44.31,10.02
25.03.01 08.44.32,12.66
25.03.01 08.44.33,11.71
25.03.01 08.44.34,11.68
25.03.01 08.44.35,11.11
25.03.01 08.44.36,14.66
25.03.01 08.44.37,9.59
25.03.01 08.44.38,5.99
25.03.01 08.44.39,13.21
25.03.01 08.44.40,9.08
25.03.01 08.44.41,10.22
25.03.01 08.44.42,12.62
25.03.01 08.44.43,6.80
25.03.01 08.44.44,7.50
25.03.01 08.44.45,6.80
25.03.01 08.44.46,8.41
25.03.01 08.44.47,10.88
25.03.01 08.44.48,11.05
25.03.01 08.44.49,10.55
25.03.01 08.44.50,7.17
25.03.01 08.44.51,5.38
25.03.01 08.44.52,10.11
25.03.01 08.44.53,9.06
25.03.01 08.44.54,10.92
25.03.01 08.44.55,11.40
25.03.01 08.44.56,10.28
25.03.01 08.44.57,11.52
25.03.01 08.44.58,10.46
25.03.01 08.44.59,11.06
25.03.01 08.45.00,8.59
25.03.01 08.45.01,9.64
25.03.01 08.45.02,10.39
25.03.01 08.45.03,11.64
25.03.01 08.45.04,9.21
25.03.01 08.45.05,11.04
25.03.01 08.45.06,9.47
25.03.01 08.45.07,9.76
25.03.01 08.45.08,11.66
25.03.01 08.45.09,6.01
25.03.01 08.45.10,7.41
25.03.01 08.45.11,7.04
25.03.01 08.45.12,5.33
25.03.01 08.45.13,8.64
25.03.01 08.45.14,11.50
2025-03-01 08:45:15,9.43
25.03.01 08.45.16,10.40
25.03.01 08.45.17,12.18
25.03.01 08.45.18,12.66
25.03.01 08.45.19,9.86
25.03.01 08.45.20,12.71
25.03.01 08.45.21,10.18
25.03.01 08.45.22,8.33
25.03.01 08.45.23,8.81
25.03.01 08.45.24,7.04
25.03.01 08.45.25,8.22
25.03.01 08.45.26,9.28
25.03.01 08.45.27,11.61
25.03.01 08.45.28,13.44
25.03.01 08.45.29,7.24
25.03.01 08.45.30,10.79
25.03.01 08.45.31,7.92
25.03.01 08.45.32,10.95
25.03.01 08.45.33,9.74
25.03.01 08.45.34,6.34
25.03.01 08.45.35,11.86
25.03.01 08.45.36,8.79
25.03.01 08.45.37,8.93
25.03.01 08.45.38,7.86
25.03.01 08.45.39,8.69
25.03.01 08.45.40,10.86
25.03.01 08.45.41,9.62
25.03.01 08.45.42,10.66
25.03.01 08.45.43,10.72
25.03.01 08.45.44,12.64
25.03.01 08.45.45,9.31
25.03.01 08.45.46,7.05
25.03.01 08.45.47,12.13
25.03.01 08.45.48,9.34
25.03.01 08.45.49,12.23
25.03.01 08.45.50,10.77
25.03.01 08.45.51,9.74
25.03.01 08.45.52,10.70
25.03.01 08.45.53,"13,90"
2025-03-01 08:45:54,14.15
25.03.01 08.45.55,10.14
25.03.01 08.45.56,10.32
25.03.01 08.45.57,12.15
25.03.01 08.45.58,8.31
25.03.01 08.45.59,10.67
25.03.01 08.46.00,9.95
25.03.01 08.46.01,10.63
25.03.01 08.46.02,8.33
25.03.01 08.46.03,6.82
25.03.01 08.46.04,5.85
25.03.01 08.46.05,7.77
25.03.01 08.46.06,9.08
25.03.01 08.46.07,9.41
25.03.01 08.46.08,13.87
25.03.01 08.46.09,12.21
25.03.01 08.46.10,8.08
25.03.01 08.46.11,10.70
25.03.01 08.46.12,9.19
25.03.01 08.46.13,9.43
25.03.01 08.46.14,10.37
25.03.01 08.46.15,11.24
25.03.01 08.46.16,9.32
25.03.01 08.46.17,12.13
25.03.01 08.46.18,7.72
25.03.01 08.46.19,10.01
25.03.01 08.46.20,15.20
25.03.01 08.46.21,10.45
25.03.01 08.46.22,12.87
25.03.01 08.46.23,10.18
25.03.01 08.46.24,11.16
25.03.01 08.46.25,9.89
25.03.01 08.46.26,9.66
25.03.01 08.46.27,8.44
25.03.01 08.46.28,10.86
25.03.01 08.46.29,8.30
25.03.01 08.46.30,11.33
25.03.01 08.46.31,12.17
25.03.01 08.46.32,10.73
25.03.01 08.46.33,9.43
25.03.01 08.46.34,10.91
25.03.01 08.46.35,9.38
25.03.01 08.46.36,11.87
25.03.01 08.46.37,6.34
25.03.01 08.46.38,9.33
25.03.01 08.46.39,6.02
25.03.01 08.46.40,7.01
25.03.01 08.46.41,12.73
25.03.01 08.46.42,11.79
25.03.01 08.46.43,8.56
25.03.01 08.46.44,6.99
25.03.01 08.46.45,4.07
25.03.01 08.46.46,8.91
01/03/25 08:46:47,14.84
25.03.01 08.46.48,10.87
25.03.01 08.46.49,8.88
25.03.01 08.46.50,10.93
25.03.01 08.46.51,6.88
2025-03-01 08:46:52,9.41
25.03.01 08.46.53,10.20
25.03.01 08.46.54,9.83
25.03.01 08.46.55,11.58
25.03.01 08.46.56,10.69
25.03.01 08.46.57,11.34
25.03.01 08.46.58,8.62
25.03.01 08.46.59,11.80
25.03.01 08.47.00,13.26
25.03.01 08.47.01,8.06
25.03.01 08.47.02,8.22
25.03.01 08.47.03,12.67
25.03.01 08.47.04,9.62
25.03.01 08.47.05,"12,81"
25.03.01 08.47.06,9.11
25.03.01 08.47.07,12.91
25.03.01 08.47.08,10.26
25.03.01 08.47.09,10.52
25.03.01 08.47.10,13.13
25.03.01 08.47.11,9.28
25.03.01 08.47.12,8.12
25.03.01 08.47.13,9.10
25.03.01 08.47.14,10.90
25.03.01 08.47.15,6.87
25.03.01 08.47.16,11.27
25.03.01 08.47.17,8.92
25.03.01 08.47.18,12.30
25.03.01 08.47.19,5.21
25.03.01 08.47.20,8.43
25.03.01 08.47.21,6.63
25.03.01 08.47.22,8.35
25.03.01 08.47.23,10.50
25.03.01 08.47.24,9.64
25.03.01 08.47.25,9.49
25.03.01 08.47.26,9.68
25.03.01 08.47.27,10.41
25.03.01 08.47.28,7.98
25.03.01 08.47.29,11.41
25.03.01 08.47.30,11.33
25.03.01 08.47.31,10.77
25.03.01 08.47.32,11.11
25.03.01 08.47.33,10.59
25.03.01 08.47.34,14.07
25.03.01 08.47.35,9.83
25.03.01 08.47.36,9.39
25.03.01 08.47.37,8.49
25.03.01 08.47.38,7.94
25.03.01 08.47.39,7.51
25.03.01 08.47.40,8.22
25.03.01 08.47.41,9.86
25.03.01 08.47.42,10.67
25.03.01 08.47.43,10.10
25.03.01 08.47.44,8.47
25.03.01 08.47.45,11.80
25.03.01 08.47.46,11.48
25.03.01 08.47.47,9.68
25.03.01 08.47.48,8.69
25.03.01 08.47.50,10.38
25.03.01 08.47.51,7.10
25.03.01 08.47.52,9.86
25.03.01 08.47.53,10.52
25.03.01 08.47.54,8.20
25.03.01 08.47.55,10.38
25.03.01 08.47.56,7.09
25.03.01 08.47.57,12.67
25.03.01 08.47.58,12.50
25.03.01 08.47.59,9.49
25.03.01 08.48.00,10.73
25.03.01 08.48.01,5.18
25.03.01 08.48.02,7.69
25.03.01 08.48.03,9.41
25.03.01 08.48.04,7.86
25.03.01 08.48.05,11.43
25.03.01 08.48.06,13.99
25.03.01 08.48.07,7.65
25.03.01 08.48.08,8.33
25.03.01 08.48.09,10.47
25.03.01 08.48.10,13.22
25.03.01 08.48.11,7.56
25.03.01 08.48.12,10.50
25.03.01 08.48.13,13.64
25.03.01 08.48.14,6.70
25.03.01 08.48.15,7.44
25.03.01 08.48.16,9.15
25.03.01 08.48.17,8.96
25.03.01 08.48.18,11.63
25.03.01 08.48.19,10.48
25.03.01 08.48.20,6.45
25.03.01 08.48.21,11.03
25.03.01 08.48.22,8.84
25.03.01 08.48.23,12.55
25.03.01 08.48.24,8.74
25.03.01 08.48.25,8.73
25.03.01 08.48.26,11.08
25.03.01 08.48.27,11.53
25.03.01 08.48.28,10.90
25.03.01 08.48.29,6.63
25.03.01 08.48.30,11.08
25.03.01 08.48.31,7.93
25.03.01 08.48.32,10.47
25.03.01 08.48.33,7.15
25.03.01 08.48.34,10.89
25.03.01 08.48.35,8.39
25.03.01 08.48.36,7.43
25.03.01 08.48.37,11.43
25.03.01 08.48.38,10.48
25.03.01 08.48.39,8.77
25.03.01 08.48.40,12.90
25.03.01 08.48.41,9.12
25.03.01 08.48.42,10.06
25.03.01 08.48.43,10.54
25.03.01 08.48.44,8.76
25.03.01 08.48.45,10.94
25.03.01 08.48.46,8.93
25.03.01 08.48.47,9.18
25.03.01 12.31.32,7.92
25.03.01 12.31.33,5.17
25.03.01 12.31.34,13.22
25.03.01 12.31.35,15.10
25.03.01 12.31.36,9.19
25.03.01 12.31.37,6.13
25.03.01 12.31.38,9.38
25.03.01 12.31.39,9.43
25.03.01 12.31.40,9.62
25.03.01 12.31.41,7.77
25.03.01 12.31.42,11.16
25.03.01 12.31.43,11.05
25.03.01 12.31.44,7.01
25.03.01 12.31.45,11.40
25.03.01 12.31.46,14.11
25.03.01 12.31.47,"10,34"
25.03.01 12.31.48,9.33
25.03.01 12.31.49,9.72
25.03.01 12.31.50,11.23
25.03.01 12.31.51,6.54
25.03.01 12.31.52,10.33
25.03.01 12.31.53,9.22
25.03.01 12.31.54,13.70
25.03.01 12.31.55,9.65
25.03.01 12.31.56,13.34
25.03.01 12.31.57,7.79
25.03.01 12.31.58,11.17
25.03.01 12.31.59,10.64
25.03.01 12.32.00,8.26
25.03.01 12.32.01,10.35
25.03.01 12.32.02,12.43
25.03.01 12.32.03,9.35
25.03.01 12.32.04,6.62
25.03.01 12.32.05,9.96
25.03.01 12.32.06,8.20
25.03.01 12.32.07,9.32
25.03.01 12.32.08,9.84
25.03.01 12.32.09,6.59
25.03.01 12.32.10,6.77
25.03.01 12.32.11,10.96
25.03.01 12.32.12,8.95
25.03.01 12.32.13,4.87
25.03.01 12.32.14,11.57
25.03.01 12.32.15,10.54
25.03.01 12.32.16,8.57
25.03.01 12.32.17,7.37
25.03.01 12.32.18,11.67
25.03.01 12.32.20,14.77
25.03.01 12.32.21,10.84
25.03.01 12.32.22,"10,78"
25.03.01 12.32.23,9.67
25.03.01 12.32.24,11.63
25.03.01 12.32.25,11.25
25.03.01 12.32.26,12.50
25.03.01 12.32.27,8.96
25.03.01 12.32.28,9.13
25.03.01 12.32.29,9.04
25.03.01 12.32.30,11.58
25.03.01 12.32.31,13.00
25.03.01 12.32.32,9.08
25.03.01 12.32.33,9.15
25.03.01 12.32.34,10.63
25.03.01 12.32.35,9.51
25.03.01 12.32.36,11.90
25.03.01 12.32.37,5.50
25.03.01 12.32.38,8.35
25.03.01 12.32.39,8.44
25.03.01 12.32.40,5.36
25.03.01 12.32.41,8.07
25.03.01 12.32.42,8.17
25.03.01 12.32.43,9.60
25.03.01 12.32.44,12.23
25.03.01 12.32.45,9.51
25.03.01 12.32.46,7.94
25.03.01 12.32.47,9.89
25.03.01 12.32.48,12.10
25.03.01 12.32.49,"8,05"
25.03.01 12.32.50,8.18
25.03.01 12.32.51,11.12
25.03.01 12.32.52,9.56
25.03.01 12.32.53,11.29
25.03.01 12.32.54,9.97
25.03.01 12.32.55,11.40
25.03.01 12.32.56,7.93
25.03.01 12.32.57,9.98
25.03.01 12.32.58,9.58
25.03.01 12.32.59,7.57
25.03.01 12.33.00,6.87
25.03.01 12.33.01,11.37
25.03.01 12.33.02,9.30
25.03.01 12.33.03,7.96
25.03.01 12.33.04,9.81
25.03.01 12.33.05,12.26
25.03.01 12.33.06,5.44
25.03.01 12.33.07,7.01
25.03.01 12.33.08,8.15
25.03.01 12.33.09,12.92
25.03.01 12.33.10,10.57
25.03.01 12.33.11,11.53
25.03.01 12.33.12,7.72
25.03.01 12.33.13,7.76
25.03.01 12.33.14,10.90
25.03.01 12.33.15,10.12
25.03.01 12.33.16,11.10
25.03.01 12.33.17,9.62
25.03.01 12.33.18,10.56
25.03.01 12.33.19,10.32
25.03.01 12.33.20,11.56
25.03.01 12.33.21,11.61
25.03.01 12.33.22,6.76
25.03.01 12.33.23,5.51
25.03.01 12.33.24,12.00
25.03.01 12.33.25,12.38
25.03.01 12.33.26,7.96
25.03.01 12.33.27,6.28
25.03.01 12.33.28,10.20
25.03.01 12.33.29,11.86
25.03.01 12.33.30,13.60
25.03.01 12.33.31,11.03
25.03.01 12.33.32,9.26
25.03.01 12.33.33,8.21
25.03.01 12.33.34,10.02
25.03.01 12.33.35,9.40
25.03.01 12.33.36,7.97
25.03.01 12.33.37,14.10
25.03.01 12.33.38,13.57
25.03.01 12.33.39,12.27
25.03.01 12.33.40,8.16
25.03.01 12.33.41,11.71
25.03.01 12.33.42,11.28
25.03.01 12.33.43,10.89
25.03.01 12.33.44,12.50
25.03.01 12.33.45,11.27
25.03.01 12.33.46,11.48
25.03.01 12.33.47,11.27
25.03.01 12.33.48,10.68
25.03.01 12.33.49,6.43
25.03.01 12.33.50,10.17
25.03.01 12.33.51,8.89
25.03.01 12.33.52,7.44
25.03.01 12.33.53,13.36
25.03.01 12.33.54,13.46
25.03.01 12.33.55,12.72
25.03.01 12.33.56,10.51
25.03.01 12.33.57,12.70
25.03.01 12.33.58,10.02
25.03.01 12.33.59,10.41
25.03.01 12.34.00,7.81
25.03.01 12.34.01,10.79
25.03.01 12.34.02,10.12
25.03.01 12.34.03,7.39
25.03.01 12.34.04,9.90
25.03.01 12.34.06,13.60
25.03.01 12.34.07,11.79
25.03.01 12.34.08,10.02
25.03.01 12.34.09,10.50
25.03.01 12.34.10,10.09
25.03.01 12.34.11,9.59
25.03.01 12.34.12,7.84
25.03.01 12.34.13,9.70
25.03.01 12.34.14,8.51
25.03.01 12.34.15,7.50
25.03.01 12.34.16,11.02
25.03.01 12.34.17,10.78
25.03.01 12.34.18,6.43
25.03.01 12.34.19,9.75
25.03.01 12.34.20,11.99
25.03.01 12.34.21,12.12
25.03.01 12.34.22,12.05
25.03.01 12.34.23,10.08
25.03.01 12.34.24,8.31
25.03.01 12.34.25,7.83
25.03.01 12.34.26,10.69
25.03.01 12.34.27,10.76
25.03.01 12.34.28,12.57
25.03.01 12.34.29,12.20
25.03.01 12.34.30,9.74
25.03.01 12.34.31,7.51
25.03.01 12.34.32,9.36
25.03.01 12.34.33,10.43
25.03.01 12.34.34,9.60
25.03.01 12.34.35,8.84
25.03.01 12.34.36,10.51
25.03.01 12.34.37,8.99
25.03.01 12.34.38,8.74
25.03.01 12.34.39,10.62
25.03.01 12.34.40,9.20
25.03.01 12.34.41,10.49
25.03.01 12.34.42,10.55
25.03.01 12.34.43,7.72
25.03.01 12.34.44,9.04
25.03.01 12.34.45,12.88
25.03.01 12.34.46,7.68
25.03.01 12.34.47,5.77
25.03.01 12.34.48,6.28
25.03.01 12.34.49,10.06
25.03.01 12.34.50,10.06
25.03.01 12.34.51,9.76
25.03.01 12.34.52,12.43
25.03.01 12.34.53,4.65
25.03.01 12.34.54,10.79
25.03.01 12.34.55,13.12
25.03.01 12.34.56,7.74
25.03.01 12.34.57,9.24
25.03.01 12.34.58,8.49
25.03.01 12.34.59,8.21
25.03.01 12.35.00,9.35
25.03.01 12.35.01,12.85
25.03.01 12.35.02,13.67
25.03.01 12.35.03,9.33
25.03.01 12.35.04,13.81
25.03.01 12.35.05,10.07
25.03.01 12.35.06,13.51
25.03.01 12.35.07,9.81
25.03.01 12.35.08,10.26
25.03.01 12.35.09,10.73
25.03.01 12.35.10,16.36
25.03.01 12.35.11,11.70
25.03.01 12.35.12,8.59
25.03.01 12.35.13,11.94
25.03.01 12.35.14,
25.03.01 12.35.15,9.02
25.03.01 12.35.16,11.82
25.03.01 12.35.17,10.06
25.03.01 12.35.18,10.56
25.03.01 12.35.19,10.03
25.03.01 12.35.20,10.67
25.03.01 12.35.21,10.85
25.03.01 12.35.22,6.13
25.03.01 12.35.23,11.33
25.03.01 12.35.24,8.04
25.03.01 12.35.25,7.12
25.03.01 12.35.26,9.88
25.03.01 12.35.27,10.17
25.03.01 12.35.28,8.61
25.03.01 12.35.29,11.66
25.03.01 12.35.30,7.32
25.03.01 12.35.31,
25.03.01 12.35.32,8.83
25.03.01 12.35.33,9.91
25.03.01 12.35.34,10.56
25.03.01 12.35.35,7.98
25.03.01 12.35.36,11.45
25.03.01 12.35.37,10.13
25.03.01 12.35.38,6.22
25.03.01 12.35.39,6.08
25.03.01 12.35.40,9.98
25.03.01 12.35.41,9.56
25.03.01 12.35.42,9.79
25.03.01 12.35.43,9.94
25.03.01 12.35.44,10.45
